取引No,会計日,会計時間,合計,小計,内消費税,現金,Pontaポイント(Airウォレット),クレジットカード(Airペイ),電子マネー(Airペイ),ポイント(POICHI for Airレジ),クレジットカード(Square),モバイル決済(モバイル決済 for Airレジ),金券合計,売掛合計,おつり,現金以外おつり不支払額,割引/割増,人数,商品点数,滞在時間,伝票名,レジID,レジ担当者名,カテゴリ名,メニュー名,種別１,種別２,価格,注文数量,割引/割増数量,割引/割増単価,単位,割引/割増合計額,ID,リソース名
RB0320170403211242000,2017/04/03,22:18:26,5110,4850,378,5110,0,0,0,0,0,0,0,0,0,0,0,3,10,01:05:43,"テーブル6",0002,"周","焼酎グラス","蘭              ","","",550,1,0,0,-,0,63738BB2C62E4A06B3FF7F453D76D164,"未設定"
RB0320170403211242000,,,,,,,,,,,,,,,,,,,,,,,,"お好みにぎり","細巻250","","",250,2,0,0,-,0,63738BB2C62E4A06B3FF7F453D76D164,
RB0320170403211242000,,,,,,,,,,,,,,,,,,,,,,,,"お好みにぎり","細巻450","","",450,1,0,0,-,0,63738BB2C62E4A06B3FF7F453D76D164,
RB0320170403211242000,,,,,,,,,,,,,,,,,,,,,,,,"お好みにぎり","細巻650","","",650,1,0,0,-,0,63738BB2C62E4A06B3FF7F453D76D164,
RB0320170403211242000,,,,,,,,,,,,,,,,,,,,,,,,"日本酒","出羽桜 桜花 吟醸","","",780,2,0,0,-,0,63738BB2C62E4A06B3FF7F453D76D164,
RB0320170403211242000,,,,,,,,,,,,,,,,,,,,,,,,"ビール","お通し","","",380,3,0,0,-,0,63738BB2C62E4A06B3FF7F453D76D164,
RB0320170403191623000,2017/04/03,22:27:12,23290,21570,1725,0,0,0,0,0,0,0,0,23290,0,0,-5,4,35,03:10:49,"テーブル4",0002,"周","お造り","おまかせ刺身盛","","",2900,1,0,0,-,0,6CEAA1016DB042CE87574DC22063679B,"未設定"
RB0320170403191623000,,,,,,,,,,,,,,,,,,,,,,,,"焼き物","銀だら照り焼","","",900,1,0,0,-,0,6CEAA1016DB042CE87574DC22063679B,
RB0320170403191623000,,,,,,,,,,,,,,,,,,,,,,,,"焼き物","サザエ壺焼","","",780,1,0,0,-,0,6CEAA1016DB042CE87574DC22063679B,
RB0320170403191623000,,,,,,,,,,,,,,,,,,,,,,,,"焼き物","焼はまぐり","","",650,2,0,0,-,0,6CEAA1016DB042CE87574DC22063679B,
RB0320170403191623000,,,,,,,,,,,,,,,,,,,,,,,,"揚げ物・煮物","天婦羅盛","","",1200,1,0,0,-,0,6CEAA1016DB042CE87574DC22063679B,
RB0320170403191623000,,,,,,,,,,,,,,,,,,,,,,,,"にぎり","和牛あぶりにぎりセット","","",1150,1,0,0,-,0,6CEAA1016DB042CE87574DC22063679B,
RB0320170403191623000,,,,,,,,,,,,,,,,,,,,,,,,"焼き物","リブロースステーキ","","",1200,1,0,0,-,0,6CEAA1016DB042CE87574DC22063679B,
